t,z(t),v(t),F(t) (added)
10.16004,1.406762,-1.233177,-140.6762
10.18004,1.381536,-1.261312,-138.1536
10.20004,1.355757,-1.288942,-135.5757
10.22004,1.329436,-1.316058,-132.9436
10.24004,1.302583,-1.342646,-130.2583
10.26005,1.275209,-1.368698,-127.5209
10.28005,1.247325,-1.394202,-124.7325
10.30005,1.218942,-1.419149,-121.8942
10.32005,1.190071,-1.443527,-119.0071
10.34005,1.160725,-1.467329,-116.0725
10.36005,1.130914,-1.490543,-113.0914
10.38005,1.100651,-1.513162,-110.0651
10.40005,1.069947,-1.535175,-106.9947
10.42005,1.038816,-1.556574,-103.8816
10.44005,1.007269,-1.57735,-100.7269
10.46005,0.9753188,-1.597495,-97.53188
10.48005,0.9429787,-1.617002,-94.29787
10.50005,0.9102615,-1.635861,-91.02615
10.52005,0.8771802,-1.654067,-87.71802
10.54005,0.843748,-1.67161,-84.37479
10.56005,0.8099782,-1.688485,-80.99783
10.58005,0.7758846,-1.704685,-77.58846
10.60005,0.7414805,-1.720202,-74.14806
10.62005,0.7067799,-1.735032,-70.67799
10.64005,0.6717966,-1.749168,-67.17966
10.66005,0.6365445,-1.762604,-63.65445
10.68005,0.6010378,-1.775334,-60.10378
10.70006,0.5652907,-1.787355,-56.52907
10.72006,0.5293175,-1.798661,-52.93175
10.74006,0.4931326,-1.809247,-49.31326
10.76006,0.4567504,-1.81911,-45.67504
10.78006,0.4201855,-1.828245,-42.01855
10.80006,0.3834525,-1.836649,-38.34525
10.82006,0.3465661,-1.844318,-34.65661
10.84006,0.3095412,-1.851249,-30.95412
10.86006,0.2723924,-1.85744,-27.23924
10.88006,0.2351346,-1.862888,-23.51346
10.90006,0.1977828,-1.86759,-19.77828
10.92006,0.1603519,-1.871546,-16.03519
10.94006,0.1228568,-1.874753,-12.28568
10.96006,0.08531262,-1.87721,-8.531262
10.98006,0.04773429,-1.878916,-4.773429
11.00006,0.01013688,-1.879871,-1.013688
11.02006,-0.0274646,-1.880074,2.74646
11.04006,-0.06505509,-1.879524,6.505509
11.06006,-0.1026196,-1.878223,10.26196
11.08006,-0.140143,-1.876171,14.0143
11.10006,-0.1776103,-1.873368,17.76103
11.12006,-0.2150066,-1.869816,21.50067
11.14007,-0.252317,-1.865516,25.2317
11.16007,-0.2895263,-1.860469,28.95263
11.18007,-0.3266199,-1.854679,32.66199
11.20007,-0.3635828,-1.848147,36.35828
11.22007,-0.4004003,-1.840875,40.04004
11.24007,-0.4370577,-1.832867,43.70577
11.26007,-0.4735402,-1.824126,47.35402
11.28007,-0.5098333,-1.814655,50.98333
11.30007,-0.5459225,-1.804458,54.59225
11.32007,-0.5817932,-1.79354,58.17933
11.34007,-0.6174313,-1.781904,61.74313
11.36007,-0.6528224,-1.769555,65.28224
11.38007,-0.6879524,-1.756499,68.79524
11.40007,-0.7228072,-1.74274,72.28072
11.42007,-0.7573729,-1.728284,75.73729
11.44007,-0.7916356,-1.713136,79.16356
11.46007,-0.8255817,-1.697304,82.55817
11.48007,-0.8591975,-1.680792,85.91975
11.50007,-0.8924696,-1.663608,89.24696
11.52007,-0.9253848,-1.645759,92.53848
11.54007,-0.9579298,-1.627251,95.79298
11.56007,-0.9900917,-1.608092,99.00917
11.58008,-1.021858,-1.58829,102.1858
11.60008,-1.053215,-1.567853,105.3215
11.62008,-1.08415,-1.546789,108.415
11.64008,-1.114652,-1.525106,111.4652
